Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",Name Metabolite ,Group 
A027_RP,L-(+)-Glutamic acid,147.0532,4.05,0.0,0.0,-0.2,1.7,1.0,-0.7,1.7,1.2,-0.5,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.001,9.3E+09,1.1E+10,9.1E+09,8.0E+09,8.2E+09,9.2E+09,9.4E+09,9.1E+09,3.5E+09,2.8E+09,2.7E+09,2.5E+09,2.9E+09,2.8E+09,2.6E+09,2.8E+09,4.7E+09,4.6E+09,4.9E+09,3.6E+09,4.6E+09,3.9E+09,4.6E+09,4.0E+09,4.7E+05,6.8E+05,2.6E+05,4.9E+05,3.7E+05,1.2E+06,1.6E+06,10.2,3.0,6.3,13.0,14.5,6.0,L-(+)-Glutamic acid,AA Metabolism / Glutamate / Neurotransmitter
A025_RP,L-Glutamine,146.0692,3.86,0.3,0.8,0.1,1.1,1.1,0.0,0.7,1.4,0.7,1.000,1.000,1.000,0.004,0.001,1.000,0.023,0.000,0.087,3.6E+09,4.7E+09,4.0E+09,4.2E+09,3.4E+09,9.0E+09,3.5E+09,3.8E+09,2.1E+09,3.2E+09,1.6E+09,2.4E+09,1.7E+09,3.0E+09,1.6E+09,2.6E+09,1.5E+09,1.8E+09,1.9E+09,2.2E+09,1.2E+09,1.5E+09,1.8E+09,1.7E+09,1.5E+06,1.4E+06,1.6E+06,1.9E+05,1.3E+06,1.3E+06,2.2E+05,16.6,20.2,12.5,12.9,44.4,7.2,L-Glutamine,AA metabolism / Glutamine 
C256_HILIC,N-(2-Pyrrolidinylcarbonyl)glutamine,243.1220,10.74,0.5,0.5,-0.2,0.2,0.4,0.2,0.2,1.1,0.9,1.000,1.000,1.000,1.000,0.380,1.000,1.000,0.001,0.008,3.7E+07,6.3E+07,3.7E+07,3.5E+07,3.8E+07,7.9E+07,4.2E+07,4.2E+07,3.4E+07,6.2E+07,3.3E+07,4.1E+07,3.0E+07,3.7E+07,3.3E+07,5.2E+07,2.7E+07,2.6E+07,3.3E+07,2.2E+07,2.9E+07,2.5E+07,2.5E+07,2.8E+07,8.4E+05,4.4E+05,6.0E+05,1.3E+06,4.5E+05,9.4E+05,5.1E+05,9.5,11.6,23.3,4.8,37.0,5.8,N-(2-Pyrrolidinylcarbonyl)glutamine,AA metabolism / glutamine 
C267_HILIC,"N-(3,4-Dihydroxyphenyl)glutamine",254.0904,23.40,0.0,0.3,-0.5,1.0,0.4,-0.6,0.6,0.9,0.3,1.000,1.000,1.000,0.003,0.265,0.242,0.019,0.004,1.000,2.7E+07,4.2E+07,2.9E+07,2.6E+07,3.3E+07,2.8E+07,2.8E+07,2.8E+07,2.0E+07,2.1E+07,1.3E+07,1.4E+07,1.2E+07,1.7E+07,1.7E+07,2.0E+07,2.4E+07,2.0E+07,2.3E+07,1.5E+07,2.1E+07,1.5E+07,1.7E+07,1.6E+07,1.9E+05,1.6E+05,1.6E+05,1.7E+05,1.7E+05,1.6E+05,1.8E+05,15.1,15.7,17.7,23.1,24.2,8.6,"N-(3,4-Dihydroxyphenyl)glutamine",AA metabolism / Glutamine 
C148_RP,L-alpha-Glutamyl-L-glutamine,275.1119,4.69,0.1,0.9,0.1,2.5,2.5,-0.1,1.7,2.5,0.7,1.000,1.000,1.000,0.000,0.000,1.000,0.002,0.000,0.952,7.6E+07,1.0E+08,8.6E+07,6.8E+07,8.0E+07,2.9E+08,1.1E+08,7.4E+07,1.1E+07,2.6E+07,1.4E+07,2.7E+07,1.8E+07,1.7E+07,1.5E+07,3.8E+07,1.4E+07,1.4E+07,1.5E+07,1.4E+07,1.0E+07,3.0E+07,2.2E+07,1.8E+07,1.8E+05,1.7E+05,1.7E+05,1.7E+05,1.5E+05,1.5E+05,1.6E+05,41.0,31.1,31.3,19.5,80.0,15.5,L-alpha-Glutamyl-L-glutamine,AA metabolism / Glutamine / Glutamate
C191_HILIC,2-Amino-3-butenoic acid,101.0477,13.33,0.1,-0.3,-0.3,-2.7,-3.1,-0.5,-2.3,-2.7,-0.4,1.000,1.000,1.000,0.000,0.000,0.753,0.001,0.000,0.661,7.7E+06,1.3E+07,9.8E+06,9.8E+06,1.1E+07,4.5E+06,1.0E+07,1.1E+07,6.4E+07,6.3E+07,7.6E+07,4.9E+07,2.7E+07,2.0E+07,6.2E+07,5.6E+07,1.2E+08,7.7E+07,1.1E+08,9.6E+07,6.8E+07,6.3E+07,6.5E+07,6.2E+07,2.9E+05,2.8E+05,1.2E+06,2.8E+05,3.2E+05,9.8E+05,3.0E+05,21.2,30.6,40.5,36.9,37.7,15.4,2-Amino-3-butenoic acid,AA metabolism / Glycine 
A010_RP,Betaine,117.0790,4.09,0.3,-0.4,-0.3,-1.8,-3.7,-1.8,-1.1,-3.0,-1.9,1.000,1.000,1.000,0.000,0.000,0.000,0.005,0.000,0.000,5.7E+07,9.5E+07,6.6E+07,5.8E+07,6.8E+07,9.4E+07,6.3E+07,6.9E+07,2.0E+08,1.4E+08,2.6E+08,2.1E+08,1.7E+08,1.4E+08,3.0E+08,2.8E+08,1.3E+09,9.5E+08,8.3E+08,6.6E+08,7.1E+08,6.4E+08,7.8E+08,6.4E+08,1.2E+06,5.5E+06,5.5E+06,5.1E+06,5.9E+05,4.7E+06,5.4E+06,21.0,30.4,36.7,25.4,23.4,7.0,Betaine,AA metabolism / Glycine 
C217_HILIC,N-(4-Hydroxybutanoyl)glycine,161.0688,3.33,-0.3,0.4,-0.1,-0.5,-1.9,-1.4,-1.3,-2.2,-0.9,1.000,1.000,1.000,0.246,0.000,0.003,0.076,0.000,0.010,7.1E+06,1.2E+07,1.0E+07,8.1E+06,1.0E+07,6.5E+06,9.3E+06,7.4E+06,1.9E+07,2.2E+07,1.3E+07,7.7E+06,1.5E+07,1.8E+07,1.3E+07,1.9E+07,4.2E+07,4.0E+07,3.9E+07,3.0E+07,3.6E+07,3.3E+07,3.4E+07,3.6E+07,1.1E+05,1.0E+05,7.6E+04,1.5E+05,1.0E+05,8.8E+04,9.5E+04,12.8,9.8,36.6,16.2,30.9,15.9,N-(4-Hydroxybutanoyl)glycine,AA metabolism / Glycine 
A006_HILIC,"N,N-Dimethylglycine",103.0633,11.14,0.4,-0.4,-0.2,-4.1,-3.9,0.2,-3.3,-3.4,-0.1,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,4.0E+07,6.9E+07,5.8E+07,2.5E+07,4.4E+07,7.4E+07,2.0E+07,4.0E+07,7.8E+08,4.6E+08,7.0E+08,5.8E+08,4.5E+08,5.2E+08,1.0E+09,1.3E+09,7.9E+08,7.7E+08,6.0E+08,6.0E+08,5.1E+08,5.5E+08,6.8E+08,3.9E+08,1.1E+08,2.3E+06,2.5E+06,3.2E+06,1.1E+08,1.0E+08,3.3E+06,27.4,18.3,55.0,33.0,45.0,38.4,"N,N-Dimethylglycine",AA metabolism / Glycine 
C278_HILIC,N-Tridecanoylglycine,271.2148,2.35,0.9,0.6,0.2,-0.5,-2.6,-2.1,-0.1,-1.9,-1.7,1.000,1.000,1.000,1.000,0.004,0.012,1.000,0.015,0.032,3.3E+06,1.3E+07,3.0E+06,9.5E+06,5.6E+06,3.2E+06,3.5E+06,2.8E+06,6.2E+06,1.1E+07,3.7E+06,6.3E+06,2.4E+06,2.9E+06,5.6E+06,7.5E+06,1.4E+07,3.9E+07,1.8E+07,2.2E+07,2.4E+07,2.4E+07,2.2E+07,1.5E+07,2.8E+05,2.6E+05,2.0E+05,4.9E+05,2.1E+05,1.9E+05,1.9E+05,41.5,21.7,48.3,38.4,69.2,30.8,N-Tridecanoylglycine,AA metabolism / glycine 
C140_RP,N-Undecanoylglycine,243.1836,23.40,0.9,0.5,0.4,-0.5,-2.3,-1.8,-0.1,-1.8,-1.7,1.000,1.000,1.000,1.000,0.006,0.021,1.000,0.016,0.022,1.2E+07,5.9E+07,1.5E+07,3.7E+07,2.2E+07,1.3E+07,1.3E+07,1.1E+07,2.3E+07,3.8E+07,1.7E+07,2.6E+07,1.2E+07,1.3E+07,2.3E+07,3.0E+07,5.1E+07,1.4E+08,6.6E+07,8.1E+07,7.0E+07,9.5E+07,8.0E+07,5.8E+07,1.9E+06,1.6E+06,1.8E+06,1.7E+06,1.6E+06,1.8E+06,1.8E+06,35.9,17.6,39.7,27.9,74.8,28.3,N-Undecanoylglycine,AA metabolism / Glycine 
A003_HILIC,Sarcosine,89.0477,13.63,0.3,0.0,0.2,-4.1,-4.2,-0.1,-3.8,-4.1,-0.3,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,2.8E+06,3.3E+06,1.8E+06,3.1E+06,2.6E+06,2.4E+06,1.3E+06,1.1E+06,4.1E+07,4.2E+07,3.3E+07,3.1E+07,2.4E+07,3.4E+07,4.5E+07,4.8E+07,4.3E+07,4.2E+07,4.5E+07,5.8E+07,3.6E+07,4.9E+07,3.1E+07,3.4E+07,2.8E+05,9.2E+05,2.8E+05,1.2E+06,3.1E+05,1.2E+06,2.8E+05,21.9,16.2,20.4,26.9,40.8,32.8,Sarcosine,AA metabolism / Glycine 
A009_RP,Guanidineacetic acid,117.0539,4.10,0.1,0.6,0.2,-2.4,0.8,3.2,-2.9,0.7,3.6,1.000,1.000,1.000,0.000,0.035,0.000,0.000,0.166,0.000,1.0E+07,1.2E+07,1.1E+07,1.1E+07,1.0E+07,8.7E+06,1.1E+07,1.3E+07,6.6E+07,9.3E+07,4.5E+07,7.1E+07,8.4E+07,1.2E+08,4.0E+07,6.6E+07,4.4E+06,6.2E+06,7.0E+06,5.8E+06,6.3E+06,8.7E+06,6.2E+06,7.7E+06,9.6E+04,9.5E+04,8.7E+04,8.5E+04,8.4E+04,8.6E+04,8.4E+04,19.0,18.7,27.5,34.6,15.9,5.1,Guanidineacetic acid,AA metabolism / Glycine / Arginine 
B121_HILIC,Aminolevulinic acid,131.0583,13.37,-0.3,0.4,-0.2,-3.0,-4.0,-1.0,-3.7,-4.1,-0.4,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.147,4.8E+06,5.9E+06,5.1E+06,4.5E+06,5.5E+06,3.7E+06,3.7E+06,3.6E+06,3.7E+07,6.1E+07,3.9E+07,4.5E+07,3.9E+07,5.2E+07,4.0E+07,5.3E+07,8.4E+07,6.9E+07,9.1E+07,6.6E+07,7.5E+07,8.3E+07,7.0E+07,7.1E+07,1.9E+06,1.2E+06,1.1E+06,1.8E+06,1.2E+06,1.1E+06,1.0E+06,10.3,11.7,12.7,3.6,24.1,16.6,Aminolevulinic acid,AA metabolism / Heme
A035_RP,3-Methyl-L-histidine,169.0852,3.68,0.1,0.2,-0.3,-0.5,-1.7,-1.2,-0.5,-1.3,-0.8,1.000,1.000,1.000,0.905,0.000,0.003,0.200,0.001,0.269,1.3E+07,1.7E+07,1.1E+07,1.1E+07,1.3E+07,1.5E+07,9.9E+06,7.2E+06,1.1E+07,1.7E+07,1.9E+07,2.0E+07,1.8E+07,1.7E+07,1.6E+07,2.6E+07,4.5E+07,3.9E+07,4.7E+07,3.5E+07,3.3E+07,2.9E+07,3.0E+07,2.3E+07,1.2E+05,1.2E+05,1.1E+05,3.7E+05,1.0E+05,2.7E+05,1.2E+05,21.9,21.8,21.0,22.0,34.0,13.3,3-Methyl-L-histidine,AA metabolism / Histidine 
A030_RP,Histidine,155.0696,3.66,0.5,0.3,-0.4,0.0,0.1,0.1,0.3,1.0,0.7,1.000,1.000,1.000,1.000,1.000,1.000,0.511,0.177,1.000,1.4E+08,2.5E+08,1.5E+08,1.8E+08,2.4E+08,2.1E+08,1.4E+08,2.1E+08,1.4E+08,4.0E+07,1.5E+08,1.8E+08,1.5E+08,1.7E+08,1.0E+08,1.7E+08,9.5E+07,7.8E+07,1.2E+08,9.0E+07,1.5E+08,1.3E+08,1.7E+08,1.2E+08,4.6E+05,1.6E+05,6.3E+05,5.4E+05,6.8E+05,6.3E+05,6.4E+05,24.7,25.7,47.6,15.5,12.9,28.5,Histidine,AA metabolism / Histidine 
B120_HILIC,Imidazoleacetic acid,126.0430,9.73,0.4,0.0,0.2,-5.3,-0.7,4.6,-4.8,-0.4,4.4,1.000,1.000,1.000,0.001,1.000,0.001,0.002,1.000,0.001,4.9E+06,7.2E+06,3.5E+06,4.2E+06,5.4E+06,7.6E+06,3.8E+06,4.6E+06,2.6E+08,1.8E+08,1.8E+08,1.6E+08,8.7E+07,1.2E+08,1.5E+08,2.0E+08,1.3E+07,9.7E+06,7.0E+06,7.5E+05,6.8E+06,1.5E+07,4.6E+05,6.1E+06,3.7E+05,9.1E+05,3.2E+05,8.9E+05,8.9E+05,1.6E+05,3.4E+05,74.9,74.3,21.7,43.1,29.4,19.8,Imidazoleacetic acid,AA metabolism / Histidine 
C130_RP,N-Acetyl-L-histidine,197.0802,3.64,0.0,0.3,0.4,3.7,6.1,2.4,3.5,5.7,2.2,1.000,1.000,1.000,0.000,0.000,0.004,0.000,0.000,0.001,1.9E+07,1.9E+07,1.9E+07,1.7E+07,1.7E+07,2.9E+07,1.3E+07,1.2E+07,1.1E+06,1.9E+06,1.1E+06,1.1E+06,1.8E+06,3.3E+06,1.5E+06,1.4E+06,6.4E+05,6.1E+05,2.5E+05,3.5E+05,1.9E+05,1.4E+05,2.6E+05,3.3E+05,2.1E+05,1.6E+05,8.8E+04,8.2E+04,7.9E+04,1.0E+05,1.1E+05,54.1,60.7,52.3,24.2,36.9,16.1,N-Acetyl-L-histidine,AA metabolism / Histidine 
C225_HILIC,Formiminoglutamic Acid,174.0642,13.35,-0.3,-0.1,-0.3,1.1,1.7,0.5,1.0,1.7,0.7,1.000,1.000,1.000,0.069,0.000,0.201,0.036,0.000,0.504,4.8E+07,6.8E+07,5.3E+07,4.1E+07,6.4E+07,3.9E+07,4.5E+07,4.2E+07,3.1E+07,2.3E+07,2.4E+07,1.6E+07,2.2E+07,2.3E+07,2.2E+07,1.8E+07,1.6E+07,1.9E+07,6.2E+06,8.2E+06,1.5E+07,1.1E+07,2.1E+07,1.5E+07,4.4E+05,4.1E+05,4.6E+05,3.6E+05,3.8E+05,3.3E+05,3.2E+05,33.8,41.3,17.0,16.8,28.9,15.7,Formiminoglutamic Acid,AA metabolism / Histidine / Glutamate 
C137_RP,N-(tert-Butoxycarbonyl)-L-leucine,231.1472,12.99,-0.3,-0.3,-0.2,-1.1,-4.2,-3.1,-1.1,-4.3,-3.2,1.000,1.000,1.000,0.000,0.000,0.000,0.002,0.000,0.000,1.1E+07,1.0E+07,1.0E+07,8.1E+06,1.1E+07,6.5E+06,8.6E+06,8.9E+06,4.2E+07,2.1E+07,2.0E+07,1.6E+07,2.0E+07,2.2E+07,2.4E+07,1.5E+07,1.9E+08,1.8E+08,2.0E+08,1.3E+08,2.0E+08,1.6E+08,1.7E+08,1.9E+08,1.2E+05,1.2E+05,1.2E+05,1.2E+05,1.2E+05,1.2E+05,1.2E+05,16.0,7.1,19.2,39.9,18.0,10.6,N-(tert-Butoxycarbonyl)-L-leucine,AA metabolism / Leucine 
A017_RP,L-(+)-Isoleucine,131.0948,10.17,0.3,0.6,-0.3,-0.4,-1.3,-0.9,-0.8,-0.7,0.1,1.000,1.000,1.000,0.593,0.004,0.194,0.101,0.286,1.000,1.1E+08,1.7E+08,1.2E+08,1.5E+08,1.3E+08,1.3E+08,1.2E+08,1.5E+08,3.3E+08,4.0E+08,1.2E+08,1.9E+08,2.0E+08,2.7E+08,1.3E+08,2.3E+08,2.5E+08,2.1E+08,3.0E+08,1.9E+08,2.9E+08,2.6E+08,3.2E+08,2.7E+08,5.8E+05,4.0E+05,5.3E+05,4.4E+05,4.4E+05,5.7E+05,2.1E+05,16.1,9.5,32.6,51.2,11.4,7.8,L-(+)-Isoleucine,AA Metabolism / LNAA / Isoleucine 
A023_HILIC,Ketoleucine (4-Methyl-2-oxopentanoic acid),130.0630,2.34,1.8,0.4,-0.5,-3.1,-8.2,-5.1,-1.7,-5.8,-4.2,1.000,1.000,1.000,0.004,0.000,0.000,0.085,0.000,0.000,2.3E+05,5.1E+05,2.2E+05,1.2E+06,2.3E+05,1.1E+06,1.1E+06,4.2E+05,2.0E+06,4.7E+06,1.6E+06,2.1E+06,2.0E+06,1.1E+06,2.1E+06,3.1E+06,7.6E+07,5.9E+07,5.5E+07,3.2E+07,8.1E+07,3.5E+07,5.7E+07,5.7E+07,8.8E+05,1.1E+06,8.6E+05,2.3E+05,5.0E+05,1.4E+05,1.4E+05,31.2,19.7,55.3,11.3,50.9,95.7,Ketoleucine (4-Methyl-2-oxopentanoic acid),AA Metabolism / LNAA / Leucine 
A018_RP,L-Leucine,131.0948,10.45,0.2,0.4,-0.3,-0.3,-1.0,-0.8,-0.5,-0.6,0.0,1.000,1.000,1.000,0.704,0.002,0.090,0.273,0.116,1.000,2.9E+08,4.2E+08,3.1E+08,3.4E+08,3.1E+08,3.4E+08,3.1E+08,3.5E+08,5.7E+08,6.7E+08,3.2E+08,4.0E+08,4.0E+08,5.2E+08,3.3E+08,4.8E+08,5.0E+08,4.6E+08,5.8E+08,4.4E+08,6.7E+08,5.7E+08,6.6E+08,7.2E+08,5.9E+05,5.7E+05,5.2E+05,6.1E+05,4.9E+05,4.1E+05,4.6E+05,23.7,13.5,21.4,28.4,10.9,2.8,L-Leucine,AA metabolism / LNAA / Leucine 
A016_HILIC,L-(-)-Threonine,119.0583,14.09,0.2,0.7,-0.1,-0.8,-3.0,-2.2,-1.3,-2.6,-1.3,1.000,0.138,1.000,0.000,0.000,0.000,0.000,0.000,0.000,6.8E+08,7.9E+08,6.2E+08,6.8E+08,5.1E+08,6.7E+08,6.3E+08,8.6E+08,1.3E+09,2.2E+09,1.1E+09,1.6E+09,1.0E+09,1.8E+09,1.1E+09,1.9E+09,5.2E+09,4.6E+09,4.8E+09,4.4E+09,5.3E+09,5.3E+09,4.2E+09,4.2E+09,3.6E+06,3.3E+06,1.6E+06,4.9E+06,4.6E+06,5.2E+06,3.3E+06,10.1,10.1,13.6,11.0,12.1,12.0,L-(-)-Threonine,AA Metabolism / LNAA / Threonine 
C139_RP,5-(Phosphonooxy)-L-lysine,242.0669,3.63,-0.2,0.2,0.2,-2.2,-3.3,-1.1,-2.6,-3.6,-1.0,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9E+06,5.9E+06,6.5E+06,5.6E+06,6.5E+06,5.7E+06,5.6E+06,5.6E+06,3.0E+07,3.8E+07,3.4E+07,3.1E+07,2.9E+07,3.5E+07,2.6E+07,3.3E+07,7.4E+07,7.0E+07,6.2E+07,6.7E+07,5.7E+07,7.1E+07,6.2E+07,5.4E+07,2.1E+05,2.1E+05,1.9E+05,2.0E+05,1.8E+05,1.9E+05,1.9E+05,12.0,11.1,9.6,11.2,2.4,8.2,5-(Phosphonooxy)-L-lysine,AA metabolism / Lysine 
A033_HILIC,6-Oxo-pipecolinic acid,143.0583,3.85,0.2,0.8,-0.2,-1.6,-4.1,-2.5,-2.2,-3.7,-1.5,1.000,1.000,1.000,0.008,0.000,0.002,0.001,0.000,0.016,2.5E+06,2.1E+06,1.8E+06,2.1E+06,2.0E+06,1.5E+06,1.4E+06,2.5E+06,9.6E+06,1.2E+07,4.6E+06,6.4E+06,5.8E+06,1.2E+07,5.6E+06,7.7E+06,3.3E+07,3.0E+07,9.5E+06,2.0E+07,3.7E+07,3.4E+07,3.2E+07,2.6E+07,4.2E+05,3.7E+05,2.6E+05,4.6E+05,3.6E+05,5.5E+05,3.2E+05,21.3,44.7,30.8,34.3,21.2,23.7,6-Oxo-pipecolinic acid,AA metabolism / Lysine 
C206_HILIC,Allysine,145.0739,12.13,-0.4,-0.6,-0.7,-0.2,-0.6,-0.5,0.1,-0.3,-0.3,1.000,1.000,1.000,1.000,0.065,0.391,1.000,0.817,0.498,1.4E+08,1.6E+08,1.5E+08,1.1E+08,1.5E+08,1.0E+08,1.3E+08,1.1E+08,1.5E+08,1.0E+08,1.7E+08,1.1E+08,1.3E+08,9.1E+07,2.0E+08,1.4E+08,3.0E+08,2.2E+08,2.5E+08,1.3E+08,2.0E+08,1.4E+08,1.8E+08,1.3E+08,1.1E+06,2.4E+05,9.0E+05,2.7E+05,2.5E+05,1.0E+06,1.0E+06,29.4,22.2,19.3,18.4,22.5,7.0,Allysine,AA metabolism / lysine 
C129_RP,"DL-2,6-Diaminopimelic acid",190.0954,4.43,0.3,0.2,-0.1,-1.4,-0.5,0.9,-1.3,-0.1,1.2,1.000,1.000,1.000,0.000,0.337,0.006,0.000,1.000,0.000,6.3E+06,9.5E+06,6.6E+06,6.3E+06,7.7E+06,9.3E+06,6.4E+06,5.9E+06,1.8E+07,2.0E+07,1.5E+07,1.9E+07,1.7E+07,1.7E+07,1.7E+07,2.2E+07,1.3E+07,8.9E+06,9.8E+06,8.9E+06,6.4E+06,7.9E+06,8.2E+06,7.3E+06,1.5E+05,1.4E+05,1.3E+05,1.3E+05,1.3E+05,1.4E+05,1.3E+05,9.5,30.4,9.9,8.0,24.8,9.4,"DL-2,6-Diaminopimelic acid",AA metabolism / Lysine 
A026_RP,L-(+)-Lysine,146.1056,3.38,0.0,0.6,0.1,-0.1,-1.1,-1.1,-0.6,-1.3,-0.7,1.000,1.000,1.000,1.000,0.000,0.000,0.146,0.000,0.040,1.8E+08,2.4E+08,1.7E+08,1.5E+08,1.8E+08,1.8E+08,1.6E+08,1.6E+08,1.8E+08,3.1E+08,1.7E+08,2.2E+08,1.3E+08,2.1E+08,2.1E+08,3.3E+08,3.5E+08,3.3E+08,4.2E+08,3.9E+08,3.8E+08,5.4E+08,3.8E+08,4.4E+08,2.1E+05,1.1E+05,1.1E+05,1.3E+05,1.1E+05,1.0E+05,1.0E+05,21.1,8.3,23.1,19.4,21.4,6.1,L-(+)-Lysine,AA metabolism / Lysine 
C127_RP,"N~6~,N~6~-Dimethyllysine",174.1369,3.59,-0.2,0.6,-0.1,-1.5,-2.7,-1.1,-2.4,-2.8,-0.4,1.000,1.000,1.000,0.000,0.000,0.022,0.000,0.000,0.947,1.7E+06,1.6E+06,1.8E+06,1.3E+06,1.6E+06,1.7E+06,1.3E+06,1.1E+06,4.8E+06,9.7E+06,4.9E+06,5.3E+06,4.6E+06,5.2E+06,5.9E+06,9.7E+06,1.6E+07,1.2E+07,1.3E+07,9.3E+06,8.7E+06,1.0E+07,7.0E+06,6.2E+06,1.1E+05,1.0E+05,9.5E+04,1.0E+05,9.7E+04,1.0E+05,1.0E+05,26.0,36.4,34.4,11.4,18.8,12.4,"N~6~,N~6~-Dimethyllysine",AA metabolism / Lysine 
B093_RP,"N6,N6,N6-Trimethyl-L-lysine",188.1526,3.59,-0.2,0.3,-0.1,0.4,0.8,0.4,-0.1,0.7,0.8,1.000,1.000,1.000,0.805,0.011,0.290,1.000,0.003,0.004,5.3E+07,6.4E+07,5.5E+07,4.9E+07,5.5E+07,4.6E+07,4.9E+07,4.7E+07,4.2E+07,5.5E+07,4.2E+07,4.6E+07,4.0E+07,4.6E+07,4.6E+07,5.8E+07,4.6E+07,3.3E+07,3.7E+07,2.9E+07,2.4E+07,2.9E+07,2.5E+07,2.4E+07,1.2E+05,1.2E+05,1.1E+05,1.1E+05,1.1E+05,1.1E+05,1.1E+05,11.8,31.7,11.8,6.1,16.2,5.6,"N6,N6,N6-Trimethyl-L-lysine",AA metabolism / Lysine 
C215_HILIC,N6-METHYLLYSINE,160.1213,23.83,-0.1,0.3,0.1,2.1,1.0,-1.1,1.7,0.8,-0.9,1.000,1.000,1.000,0.000,0.029,0.023,0.000,0.041,0.053,3.2E+08,5.8E+08,6.1E+08,4.8E+08,6.1E+08,5.7E+08,5.4E+08,4.9E+08,1.2E+08,1.6E+08,2.1E+08,1.7E+08,1.3E+08,1.6E+08,1.4E+08,2.1E+08,3.2E+08,3.5E+08,3.5E+08,2.3E+08,2.2E+08,3.8E+08,2.5E+08,2.7E+08,6.0E+05,5.7E+05,3.5E+05,3.2E+05,2.7E+05,1.9E+05,7.2E+05,22.8,21.2,13.5,26.8,10.3,26.9,N6-METHYLLYSINE,AA metabolism / Lysine 
B081_RP,Pipecolic acid,129.0791,6.00,0.0,-0.4,-0.4,-2.0,-4.0,-2.0,-1.6,-3.6,-2.0,1.000,1.000,1.000,0.011,0.000,0.002,0.013,0.000,0.005,1.5E+07,1.7E+07,1.4E+07,1.5E+07,1.5E+07,7.0E+06,1.5E+07,1.4E+07,5.3E+07,4.7E+07,6.3E+07,4.3E+07,2.6E+07,2.1E+07,7.5E+07,8.5E+07,3.3E+08,2.2E+08,2.7E+08,2.0E+08,2.0E+08,1.6E+08,1.5E+08,1.1E+08,1.2E+06,8.7E+05,1.0E+06,1.0E+05,8.1E+05,7.1E+05,1.2E+05,28.6,32.7,55.1,38.1,33.5,4.3,Pipecolic acid,AA metabolism / Lysine 
C281_HILIC,saccharopine,276.1323,16.87,0.3,0.2,-0.4,5.4,5.1,-0.4,5.5,5.8,0.2,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,4.8E+07,8.9E+07,5.6E+07,6.0E+07,6.1E+07,1.6E+07,4.8E+07,6.6E+07,1.2E+06,1.1E+06,8.1E+05,1.6E+06,1.2E+06,1.1E+06,1.8E+06,2.0E+06,1.4E+06,1.2E+06,1.7E+06,1.2E+06,1.2E+06,1.2E+06,1.9E+06,1.1E+06,2.4E+05,2.8E+05,2.8E+05,2.5E+05,2.8E+05,2.4E+05,2.8E+05,5.3,19.6,29.0,33.9,52.5,11.6,saccharopine,AA metabolism / Lysine 
A046_HILIC,DL-Methionine sulfoxide,165.0460,13.07,0.4,0.5,-0.1,-0.1,-1.7,-1.7,-0.2,-1.2,-1.0,1.000,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.002,2.3E+07,3.7E+07,2.8E+07,2.3E+07,2.3E+07,3.1E+07,3.4E+07,3.7E+07,3.3E+07,4.3E+07,2.9E+07,3.5E+07,2.5E+07,4.1E+07,2.3E+07,3.4E+07,8.3E+07,7.3E+07,8.9E+07,5.6E+07,7.8E+07,1.1E+08,8.7E+07,8.2E+07,3.6E+05,5.2E+05,6.2E+05,3.4E+05,3.4E+05,5.7E+05,6.8E+05,26.7,5.7,11.3,15.1,21.0,18.8,DL-Methionine sulfoxide,AA Metabolism / Methionine
