Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argininosuccinic acid,290.1226,4.16,0.144614765007980,C107,RP_pos_2020,60.566953975965200,389016,C03406,HMDB0000052,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argininosuccinic acid,290.1226,4.15,0.144614765007980,C107,RP_neg_2020,60.566953975965200,389016,C03406,HMDB0000052,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A059_RP,5-Deoxy-5'-(methylthio) adenosine (MTA),297.0897,12.83,0.180000000000000,-0.010000000000000,0.210000000000000,-0.660000000000000,-1.660000000000000,-0.990000000000000,-0.480000000000000,-1.690000000000000,-1.210000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.088264839188693600000000000000,0.000039815931625881800000000000,0.019187832113714500000000000000,0.553126185430001000000000000000,0.000029336831381355200000000000,0.001803716458202780000000000000,13733359.391224900000000,19260039.170914300000000,12068726.990308900000000,13519418.628447700000000,13416946.264478800000000,15382128.436305800000000,11648335.085191600000000,12710701.118376100000000,20919022.527370200000000,22159609.817810300000000,21044045.184275400000000,19961403.530622100000000,19069330.191835800000000,18566638.552149800000000,19419350.049887900000000,20230453.503643100000000,41952753.617427300000000,41919196.888962600000000,22341970.199080000000000,28730175.711083200000000,42407474.037177000000000,54200333.719838100000000,38336979.601879800000000,51230984.285139800000000,1.8E+05,1.5E+05,1.3E+05,1.1E+05,9.9E+04,9.1E+04,8.4E+04,26.0,26.1,7.3,5.0,19.2,8.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5'-S-Methyl-5'-thioadenosine (MTA),297.0896,12.78,0.594295644107247,C014,RP_pos_2020,,388321,C00170,HMDB0001173,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-Deoxy-5'-(methylthio) adenosine (MTA),297.0896,12.95,0.594295644107247,C014,RP_neg_2020,93.088770949661900,388321,C00170,HMDB0001173,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A060_RP,Thymidine 5'-monophosphate (5'-TMP),322.0567,10.04,-0.240000000000000,-0.030000000000000,-0.110000000000000,-0.700000000000000,-1.650000000000000,-0.950000000000000,-0.910000000000000,-1.780000000000000,-0.870000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.051590977319501100000000000000,0.000012363323026659800000000000,0.008580531358480240000000000000,0.014951662246233700000000000000,0.000008536950975307290000000000,0.018825945371541300000000000000,970902.010468208000000,1065149.622377590000000,965951.597993728000000,627988.050331646000000,750483.490016703000000,880759.246803525000000,937151.647779202000000,732603.050320983000000,1899710.046712800000000,1864119.096274460000000,1519810.599500460000000,1260680.482621220000000,1213551.193056570000000,1331080.270879890000000,1574124.786704520000000,1698806.878931490000000,2412793.744932260000000,1920064.065705290000000,3195044.826863100000000,2695594.038264440000000,3598991.934920530000000,3917557.789914830000000,2781603.945427520000000,2859919.634233230000000,2.0E+05,7.7E+04,8.1E+04,1.2E+05,7.2E+04,7.8E+04,7.8E+04,28.9,17.1,18.8,18.1,23.0,11.6,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thymidine 5'-monophosphate (5'-TMP),322.0566,10.11,0.429972220001571,C010,RP_pos_2020,83.924235926772600,9319,C00364,HMDB0062560,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thymidine 5'-monophosphate (5'-TMP),322.0566,10.12,0.429972220001571,C010,RP_neg_2020,83.924235926772600,9319,C00364,HMDB0062560,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A061_RP,Adenosine 5'-monophosphate (5'-AMP),347.0631,8.23,-0.080000000000000,0.100000000000000,0.050000000000000,0.870000000000000,2.070000000000000,1.210000000000000,0.680000000000000,1.940000000000000,1.260000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.165469180616394000000000000000,0.000014261559238523300000000000,0.003321541880647820000000000000,0.120393312752989000000000000000,0.000017194315629749700000000000,0.005837680236877890000000000000,329868497.161528000000000,561875155.192085000000000,366862123.516525000000000,320550905.953918000000000,330026537.297774000000000,278923081.642198000000000,290360536.953742000000000,302574877.197433000000000,284584765.561588000000000,221579426.877600000000000,168399500.301889000000000,174249545.290702000000000,136904262.895142000000000,188235062.129938000000000,193656260.108463000000000,200557406.325008000000000,54660108.644226000000000,50057937.344526900000000,77952732.965185700000000,82057351.775642200000000,88026978.844454700000000,128154444.539939000000000,78786351.623707000000000,79902823.729437200000000,4.4E+05,3.5E+05,3.1E+05,7.2E+05,2.6E+05,2.6E+05,9.5E+05,37.9,19.0,10.2,32.4,36.0,9.5,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenosine 5'-monophosphate (5'-AMP),347.0631,8.24,0.134289192421752,C001,RP_pos_2020,93.158344533716400,5858,C00020,HMDB0000045,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenosine 5'-monophosphate (5'-AMP),347.0631,8.27,0.134289192421752,C001,RP_neg_2020,93.158344533716400,5858,C00020,HMDB0000045,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A062_RP,Inosine 5'-monophosphate (5'-IMP),348.0472,9.37,-0.060000000000000,-0.030000000000000,0.040000000000000,-0.720000000000000,3.290000000000000,4.010000000000000,-0.760000000000000,3.180000000000000,3.940000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.492885923751700000000000000000,0.000000030017320170235500000000,0.000000019751892150851000000000,0.153719083042692000000000000000,0.000000035135370409030200000000,0.000000008158846154238120000000,131814362.521524000000000,278591978.596544000000000,163788686.875555000000000,87899839.379782900000000,142217268.510782000000000,185912878.364503000000000,186163677.562553000000000,107063157.419106000000000,180165933.629386000000000,272759756.540594000000000,253422995.467752000000000,221735706.699140000000000,258270666.053898000000000,219003289.598963000000000,249779770.097324000000000,324507166.358505000000000,15284351.319313300000000,16935272.346335300000000,16875789.088600600000000,15288887.762564900000000,14719521.588551800000000,17502105.703000100000000,16005734.053086900000000,13104352.125734000000000,4.1E+05,5.2E+05,4.2E+05,5.2E+05,4.2E+05,4.6E+05,6.9E+05,12.6,5.9,19.2,15.7,52.7,15.5,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inosine 5'-monophosphate (5'-IMP),348.0471,9.63,0.396736774969283,C003,RP_pos_2020,79.636542613208100,8264,C00130,HMDB0000175,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inosine 5'-monophosphate (5'-IMP),348.0471,9.68,0.396736774969283,C003,RP_neg_2020,79.636542613208100,8264,C00130,HMDB0000175,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A063_RP,Guanosine 5'-monophosphate (5'-GMP),363.0581,9.49,0.110000000000000,0.220000000000000,0.050000000000000,0.190000000000000,2.370000000000000,2.180000000000000,0.080000000000000,2.430000000000000,2.350000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000001196411947041860000000000,0.000007558317045922030000000000,1.000000000000000000000000000000,0.000000373711326253275000000000,0.000005927488932515510000000000,79196519.680360400000000,170298271.072497000000000,88946816.052701500000000,77843813.306693000000000,80682878.178575900000000,88468809.159600800000000,88401870.181293800000000,93445920.421279700000000,91162999.388942000000000,89185590.646950800000000,73248000.001133200000000,68279975.112351000000000,66143691.224080500000000,83471651.234885900000000,75257127.735722200000000,89147621.393448600000000,11380802.941671400000000,10643251.519582600000000,16415327.126522600000000,17433157.081280400000000,20473517.145002800000000,25565438.564071900000000,16312172.010051900000000,16369706.907999900000000,3.1E+05,4.4E+05,3.1E+05,5.2E+05,4.4E+05,4.9E+05,6.0E+05,35.1,23.0,12.0,13.8,39.4,6.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guanosine 5'-monophosphate (5'-GMP),363.0580,9.66,0.391831082320703,A013,RP_neg_2020,95.686564380399000,6545,C00144,HMDB0001397,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guanosine 5'-monophosphate (5'-GMP),363.0580,9.56,0.391831082320703,A013,RP_pos_2020,95.686564380399000,6545,C00144,HMDB0001397,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A064_RP,S-Adenosyl-L-homocysteine,384.1218,9.87,0.580000000000000,-0.060000000000000,-0.400000000000000,0.540000000000000,1.010000000000000,0.470000000000000,1.180000000000000,1.990000000000000,0.810000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.209451867912263000000000000000,0.000942772471223348000000000000,0.189764377522586000000000000000,0.001144662578388320000000000000,0.000000762418793292439000000000,0.011075003900392500000000000000,4788915.126466180000000,9171220.868847120000000,5690160.978099860000000,5966353.129536380000000,5798956.619201740000000,8801940.865724840000000,4642455.368953630000000,6824127.657369980000000,4649738.742123960000000,3898614.474466830000000,3456722.552522170000000,3005857.041921630000000,2607925.210820570000000,2869824.472514570000000,3749224.291860070000000,4525475.587368160000000,2643845.829439240000000,1964856.672743990000000,2562214.384114060000000,1580469.651107380000000,2803343.150677830000000,2302179.337873140000000,1864543.374401290000000,1968264.947542130000000,2.3E+05,2.1E+05,2.2E+05,2.0E+05,1.9E+05,2.1E+05,2.0E+05,15.1,16.8,21.8,23.3,20.1,11.4,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S-Adenosyl-L-homocysteine,384.1216,9.89,0.415495573104232,C074,RP_pos_2020,90.322627777349200,388301,C00021,HMDB0000939,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S-Adenosyl-L-homocysteine,384.1216,9.95,0.415495573104232,C074,RP_neg_2020,90.322627777349200,388301,C00021,HMDB0000939,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A065_RP,S-(5'-Adenosyl)-L-methionine (SAM),398.1373,3.89,0.290000000000000,0.080000000000000,-0.130000000000000,-0.850000000000000,-1.700000000000000,-0.850000000000000,-0.640000000000000,-1.280000000000000,-0.640000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.004122629543640930000000000000,0.000000380899601536455000000000,0.001261709817396720000000000000,0.019124997685130200000000000000,0.000006914240736371300000000000,0.011717419893655400000000000000,10559236.970439700000000,15653998.398453800000000,11810656.352027700000000,10322176.716128200000000,14663469.554351900000000,18588540.635855400000000,11403062.314398800000000,12768776.805700700000000,23356282.289405000000000,25716512.222335400000000,21550276.277359800000000,19606386.531923700000000,17552175.139967400000000,18654980.061974800000000,20216448.922890900000000,24557008.350085100000000,37263806.708170900000000,38314979.997235000000000,38204760.171131300000000,33264788.530534700000000,42173307.610826200000000,34371064.938562200000000,33687630.776570600000000,34509187.255160100000000,9.4E+04,9.2E+04,8.9E+04,8.6E+04,9.2E+04,9.1E+04,9.6E+04,6.3,9.2,15.9,11.8,25.0,14.7,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S-(5'-Adenosyl)-L-methionine (SAM),398.1372,3.93,0.162770431311272,C007,RP_pos_2020,,31982,C00019,HMDB0001185,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A066_RP,Stearoyl-L-carnitine,427.3664,28.56,1.140000000000000,0.320000000000000,-0.050000000000000,0.110000000000000,-1.040000000000000,-1.150000000000000,0.930000000000000,0.150000000000000,-0.780000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.110617255499242000000000000000,0.014667137655609900000000000000,0.278252190418390000000000000000,1.000000000000000000000000000000,0.469276452972650000000000000000,31287027.512835000000000,70085750.319075700000000,29375701.250894300000000,70250798.743876500000000,29607607.188762200000000,51073861.352071400000000,33786027.398505300000000,64436313.193245900000000,39294924.416217300000000,58260413.719840000000000,19883207.121934100000000,27329404.613632100000000,11310819.589807700000000,20677778.454893600000000,36545406.874859600000000,43218563.656937000000000,73256018.380831800000000,60637198.589409800000000,60536822.466161000000000,44146420.728266100000000,64466970.101134100000000,61844907.406672500000000,54185843.293998400000000,60201080.435402600000000,3.3E+05,2.5E+05,2.3E+05,3.0E+05,2.4E+05,2.5E+05,2.7E+05,14.8,12.6,45.0,50.1,14.1,6.6,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stearoyl-L-carnitine,427.3662,28.33,0.602816593435716,B039,RP_neg_2020,,4932275,,HMDB0000848,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A067_RP,CDP-ethanolamine,446.0606,4.37,0.090000000000000,-0.130000000000000,-0.400000000000000,0.510000000000000,-0.070000000000000,-0.580000000000000,0.730000000000000,0.420000000000000,-0.320000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.004033018791888160000000000000,1.000000000000000000000000000000,0.002369824475280000000000000000,0.000211933317578500000000000000,0.026522690036391000000000000000,0.183533570082298000000000000000,72161477.426714700000000,92151713.227783300000000,78781706.963163200000000,70006820.162366300000000,75264334.801125800000000,87047404.463389900000000,72305452.202835000000000,68128411.556331000000000,59141305.879729900000000,47391895.353579900000000,51597745.260851000000000,45704236.570883800000000,47604887.375431600000000,47077242.513880600000000,52105102.491185700000000,58096229.481833600000000,76594992.405712700000000,68750962.990287800000000,78450701.930083300000000,54440270.007191100000000,79504294.149112900000000,57411385.533988200000000,69666307.631576900000000,60214718.790397500000000,1.7E+05,1.7E+05,1.6E+05,1.6E+05,1.6E+05,1.7E+05,1.7E+05,10.2,5.8,11.6,9.1,15.2,4.2,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDP-ethanolamine,446.0604,4.44,0.457669962269968,C111,RP_pos_2020,38.864193921406300,110296,C00570,HMDB0001564,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDP-ethanolamine,446.0604,4.46,0.457669962269968,C111,RP_neg_2020,38.864193921406300,110296,C00570,HMDB0001564,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A068_RP,1-Oleoyl-2-hydroxy-sn-glycero-3-PE,479.3015,30.93,0.500000000000000,0.060000000000000,-0.130000000000000,0.170000000000000,0.630000000000000,0.460000000000000,0.620000000000000,1.260000000000000,0.640000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.066595381444664400000000000000,0.531068624029340000000000000000,0.028355826634160100000000000000,0.000016320929541173700000000000,0.021316816691668100000000000000,41506074.020014300000000,76310388.695681100000000,43527361.863109500000000,56437088.618018700000000,42013458.382760400000000,60482272.981488100000000,40454084.201864600000000,57749797.355844900000000,42650283.733547400000000,47417307.405777400000000,31410830.945461900000000,31399880.309436900000000,26783791.348705300000000,33631557.806795000000000,44616666.179819900000000,43475054.041332600000000,33022352.219389100000000,28386272.774017100000000,27633924.864939100000000,17675687.489259900000000,26244005.104274600000000,25654811.503390100000000,24830976.827835100000000,23689217.522808000000000,3.8E+05,3.4E+05,3.4E+05,3.7E+05,4.4E+05,4.3E+05,3.6E+05,19.1,12.8,19.7,23.8,14.7,3.1,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-oleoyl-3-sn-Phosphatidylethanolamine,479.3013,30.86,0.333709343408122,C054,RP_pos_2020,0.000000000000000,,,,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A069_RP,Cytidine 5'-diphosphocholine,488.1076,4.43,0.070000000000000,-0.110000000000000,0.080000000000000,1.280000000000000,0.340000000000000,-0.940000000000000,1.470000000000000,0.330000000000000,-1.140000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000024679403236413600000000000,0.490545851884379000000000000000,0.000758375914730397000000000000,0.000006401403528144560000000000,0.538240274472269000000000000000,0.000185545264000744000000000000,21584966.640460900000000,21177467.448851600000000,19692821.030886500000000,20255429.409469400000000,18014442.646248400000000,22254170.285602800000000,19751173.983325900000000,18295000.090267300000000,9310878.064312130000000,7417459.777465150000000,8327450.714670070000000,8453534.829813510000000,5702686.469183950000000,5693745.594886260000000,7895195.334709160000000,7566583.560313670000000,11395619.916553600000000,13479617.679508000000000,16264309.200246500000000,18515078.254508700000000,20471386.911661500000000,15635059.623511300000000,14901763.285204100000000,17392433.189628500000000,1.1E+05,1.0E+05,9.4E+04,9.0E+04,8.7E+04,9.0E+04,8.5E+04,13.5,23.8,15.8,19.5,8.2,7.4,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cytidine 5'-diphosphocholine,488.1073,4.51,0.567011473260667,C115,RP_pos_2020,,13207,C00307,HMDB0001413,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cytidine 5'-diphosphocholine,488.1073,4.51,0.567011473260667,C115,RP_neg_2020,,13207,C00307,HMDB0001413,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A070_RP,Taurocholic acid,515.2918,21.38,0.490000000000000,-0.170000000000000,-0.040000000000000,-2.670000000000000,0.530000000000000,3.200000000000000,-2.020000000000000,1.050000000000000,3.070000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.422520184970030000000000000000,1.000000000000000000000000000000,0.115068253000784000000000000000,1.000000000000000000000000000000,0.297471926860351000000000000000,0.160929716188576000000000000000,168171.721878023000000,369609.984639477000000,214748.281567499000000,234577.223029152000000,636630.179597472000000,33636689.438991100000000,285976.290029231000000,332507.356043076000000,1549746.475943100000000,1570602.817626860000000,1686475.389351690000000,1308082.869783140000000,1348393.935644840000000,1530376.863359840000000,1643023.968195470000000,933479.463814366000000,169385.150594143000000,174070.191845645000000,202953.374205740000000,193480.459893966000000,160255.142538518000000,159406.804865595000000,177035.136563386000000,163962.546345183000000,1.2E+05,1.2E+05,1.2E+05,1.2E+05,1.2E+05,1.2E+05,1.2E+05,8.8,10.3,21.9,9.7,192.8,65.1,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taurocholic acid,515.2917,21.59,0.201720694464925,A041,RP_pos_2020,,6423,C05122,HMDB0000036,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taurocholic acid,515.2917,21.62,0.201720694464925,A041,RP_neg_2020,,6423,C05122,HMDB0000036,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A071_RP,Uridine 5'-diphosphate glucose,566.0552,4.57,-0.160000000000000,-0.070000000000000,-0.170000000000000,-0.530000000000000,-1.080000000000000,-0.550000000000000,-0.610000000000000,-1.070000000000000,-0.460000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.150413505321218000000000000000,0.000174853957983171000000000000,0.053353705090385300000000000000,0.052028365564559800000000000000,0.000245251214368273000000000000,0.202811051833698000000000000000,80411801.025549700000000,98548410.030680700000000,78129339.271456800000000,70186986.277565000000000,84564116.928645000000000,54892730.189847300000000,75162649.476903600000000,71905202.152139400000000,128524018.034031000000000,127467133.143501000000000,110609068.858007000000000,98664557.518516000000000,93664896.053769000000000,94146890.843033000000000,117905073.869903000000000,118758234.241836000000000,191776636.804162000000000,182946517.414362000000000,176767487.325283000000000,117491824.646450000000000,158347644.834020000000000,153671357.097849000000000,141249905.525394000000000,144449214.090762000000000,1.2E+05,1.2E+05,1.3E+05,1.3E+05,1.1E+05,1.2E+05,1.2E+05,18.0,13.1,14.5,13.0,24.5,5.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uridine 5'-diphosphate glucose,566.0550,4.72,0.360250562338011,C078,RP_neg_2020,93.203704384721100,8308,C00029,HMDB0000286,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A072_RP,L-Glutathione oxidized,612.1523,9.96,-0.230000000000000,-0.190000000000000,0.130000000000000,1.610000000000000,1.280000000000000,-0.320000000000000,1.570000000000000,0.920000000000000,-0.640000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.016373083370037100000000000000,0.020548129137525600000000000000,0.999999999996173000000000000000,0.004828386493018070000000000000,0.046787336831485600000000000000,0.950644505346241000000000000000,142840640.381553000000000,210308949.093003000000000,141447792.896958000000000,108099770.305796000000000,127937359.351175000000000,121953772.871271000000000,97786705.507235500000000,93464833.269108400000000,53826460.698712900000000,34822558.450106000000000,44487167.663401400000000,34312396.830130400000000,40608075.101443400000000,42891975.158112000000000,44060737.951079900000000,45960661.923300300000000,66567503.718171900000000,95600768.444997400000000,27565381.644777900000000,24508190.570714000000000,61847989.772047400000000,61439163.361090400000000,48868546.790272700000000,60067532.106053500000000,3.2E+05,2.9E+05,2.3E+05,2.2E+05,1.9E+05,1.7E+05,1.6E+05,48.1,34.1,14.8,12.4,39.4,16.4,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Glutathione oxidized,612.1520,10.04,0.622470492679720,B024,RP_pos_2020,90.496470291209700,58835,C00127,HMDB0003337,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Glutathione oxidized,612.1520,10.04,0.622470492679720,B024,RP_neg_2020,90.496470291209700,58835,C00127,HMDB0003337,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A073_RP,β-Nicotinamide adenine dinucleotide (NAD+),663.1098,9.56,-0.550000000000000,0.000000000000000,-0.420000000000000,-0.220000000000000,-1.600000000000000,-1.380000000000000,-0.770000000000000,-1.730000000000000,-0.960000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.330852311036098000000000000000,0.524772898913143000000000000000,1.000000000000000000000000000000,0.841834698909750000000000000000,0.926529244956179000000000000000,2794797.936871900000000,18566332.885582100000000,3576688.387633290000000,1575049.225766780000000,1613754.542448110000000,819990.728935354000000,1758132.145541050000000,1535461.442419430000000,4087941.916541300000000,2799211.185311680000000,2861635.862343530000000,2281944.864451370000000,1876382.206213100000000,2506322.649847430000000,2439780.131575130000000,2956214.902564750000000,8962013.939593130000000,7176836.634230100000000,6791012.571649020000000,4922130.154507770000000,7032911.906463250000000,3034286.918113870000000,4779979.421888450000000,5425562.907558920000000,2.2E+05,2.0E+05,2.0E+05,1.9E+05,1.9E+05,1.9E+05,1.9E+05,33.2,24.8,11.4,33.3,153.5,38.0,,,
